name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.clients` has a row level security policy `Client self access` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""clients"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_clients_Client self access
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.clients` has a row level security policy `PM client access` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""clients"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_clients_PM client access
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.project_assignments` has a row level security policy `PM assignment management` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""project_assignments"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_project_assignments_PM assignment management
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.project_assignments` has a row level security policy `User own assignments` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""project_assignments"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_project_assignments_User own assignments
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.project_assignments` has a row level security policy `Team assignment visibility` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""project_assignments"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_project_assignments_Team assignment visibility
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.documents` has a row level security policy `Field worker document create` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""documents"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_documents_Field worker document create
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.documents` has a row level security policy `Field worker own documents` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""documents"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_documents_Field worker own documents
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.documents` has a row level security policy `Subcontractor document access` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""documents"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_documents_Subcontractor document access
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.document_approvals` has a row level security policy `Client approval access` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""document_approvals"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_document_approvals_Client approval access
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.field_reports` has a row level security policy `Field worker own reports` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""field_reports"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_field_reports_Field worker own reports
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.invoices` has a row level security policy `PM invoice read access` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""invoices"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_invoices_PM invoice read access
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.invoices` has a row level security policy `Client invoice access` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""invoices"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_invoices_Client invoice access
